Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
30.05.1980,0.095495,1.992770,2.076219,0.641519,0.555060,1.898171,0.548926,0.129549,0.235749
02.06.1980,0.095495,2.014511,2.076219,0.635505,0.553580,1.880675,0.548539,0.129549,0.232891
03.06.1980,0.095495,2.014511,2.051376,0.632498,0.549140,1.885049,0.543703,0.129549,0.235749
04.06.1980,0.095495,2.065235,2.111710,0.634503,0.559501,1.911290,0.551442,0.129549,0.238607
05.06.1980,0.095495,2.021756,2.086866,0.640516,0.557419,1.915663,0.547572,0.129549,0.244322
06.06.1980,0.095495,1.978278,2.111710,0.648536,0.560392,1.955028,0.556279,0.129549,0.247179
09.06.1980,0.095495,1.985524,2.136555,0.654550,0.569311,1.937533,0.554344,0.129549,0.247179
10.06.1980,0.095495,2.029001,2.168496,0.657557,0.572284,1.937533,0.554344,0.129549,0.252180
11.06.1980,0.095495,2.137698,2.239477,0.655552,0.584176,1.933160,0.552409,0.129549,0.249322
12.06.1980,0.095495,2.101466,2.214635,0.655552,0.587149,1.924412,0.555312,0.129549,0.244322
13.06.1980,0.095495,2.137698,2.157849,0.649538,0.588635,1.924412,0.555312,0.129549,0.244322
16.06.1980,0.095495,2.130452,2.172044,0.651543,0.599040,1.933160,0.551442,0.129549,0.247179
17.06.1980,0.095495,2.101466,2.196887,0.655552,0.603499,1.946280,0.552409,0.129549,0.238607
18.06.1980,0.095495,2.108712,2.239477,0.653548,0.591608,1.937533,0.553376,0.129549,0.238607
19.06.1980,0.095495,2.029001,2.200436,0.641519,0.573771,1.889423,0.547572,0.129549,0.235749
20.06.1980,0.095495,2.043494,2.193339,0.639514,0.581203,1.893796,0.547572,0.129549,0.232891
23.06.1980,0.095495,2.072480,2.207536,0.641519,0.588635,1.863181,0.549507,0.129549,0.232891
24.06.1980,0.095495,2.115959,2.239477,0.636507,0.588635,1.880675,0.547572,0.129549,0.232891
25.06.1980,0.095495,2.137698,2.271420,0.640516,0.596067,1.889423,0.564986,0.129549,0.235749
26.06.1980,0.095495,2.079727,2.250124,0.638512,0.584176,1.885049,0.556279,0.129549,0.232891
27.06.1980,0.095495,2.079727,2.264322,0.637510,0.584176,1.880675,0.553376,0.129549,0.235749
30.06.1980,0.095495,2.029001,2.172044,0.629491,0.573771,1.858806,0.547572,0.129549,0.235749
01.07.1980,0.095495,2.050741,2.182691,0.631495,0.579716,1.863181,0.555312,0.129549,0.235749
02.07.1980,0.095495,2.079727,2.200436,0.630493,0.570798,1.854434,0.557246,0.129549,0.232891
03.07.1980,0.095495,2.130452,2.246576,0.634503,0.573771,1.876302,0.564986,0.129549,0.230748
07.07.1980,0.095495,2.144945,2.250124,0.647534,0.576743,1.885049,0.566921,0.129549,0.230748
08.07.1980,0.095495,2.202918,2.250124,0.650540,0.581203,1.885049,0.570791,0.129549,0.227891
09.07.1980,0.095495,2.217411,2.235927,0.647534,0.579716,1.898171,0.570791,0.129549,0.232891
10.07.1980,0.095495,2.181178,2.143652,0.637510,0.567824,1.902544,0.566921,0.129549,0.232891
11.07.1980,0.095495,2.181178,2.186240,0.637510,0.570798,1.898171,0.563051,0.129549,0.232891
14.07.1980,0.095495,2.239150,2.228830,0.640516,0.584176,1.959401,0.580465,0.129549,0.238607
15.07.1980,0.095495,2.224656,2.157849,0.642521,0.590122,1.963775,0.580465,0.129549,0.238607
16.07.1980,0.095495,2.260889,2.164946,0.638512,0.587149,1.963775,0.584335,0.129549,0.232891
